诚投天邻风景,3室2厅,121平米,北,精装,有电梯,中楼层(共32层)2008年建塔楼,石子山,96,7934,
寰宇天下,3室2厅,121.58平米,西北,毛坯,中楼层(共46层)2016年建塔楼,江北嘴,22,18507,
金科十年城洋房,4室2厅,137平米,南 北,其他,无电梯,中楼层(共5层)2008年建板楼,石马河,16,12044,
东方家园,3室2厅,103.27平米,南,精装,有电梯,低楼层(共23层)2003年建塔楼,观音桥,84,8135,
东方家园,4室2厅,170.85平米,东,精装,有电梯,中楼层(共23层)2003年建塔楼,观音桥,13,8019,
首创鸿恩国际生活区三期,4室2厅,149.27平米,西南,毛坯,有电梯,低楼层(共9层)2012年建板塔结合,大石坝,16,11054,
御庭苑,3室2厅,149.31平米,东,精装,有电梯,中楼层(共24层)2001年建塔楼,五里店,10,7234,
国兴北岸江山东区,2室2厅,85.35平米,北,毛坯,有电梯,中楼层(共33层)塔楼,北滨路,81,9491,
保利山庄,4室2厅,153.99平米,南,精装,中楼层(共5层)2016年建板楼,观音桥,27,17794,
御龙天峰,4室2厅,154.46平米,南,精装,高楼层(共42层)2016年建塔楼,北滨路,24,15862,
御龙天峰,2室2厅,92平米,东南,毛坯,高楼层(共42层)2016年建塔楼,北滨路,11,11957,
寰宇天下,3室2厅,122平米,北,精装,中楼层(共45层)2016年建塔楼,江北嘴,23,19263,
龙湖春森彼岸,2室2厅,90平米,西,简装,有电梯,中楼层(共37层)2008年建塔楼,北滨路,12,13889,
中海紫御江山,3室2厅,138平米,南,精装,有电梯,低楼层(共48层)2013年建塔楼,江北嘴,23,16667,
鲁能星城11城区,3室2厅,108平米,北,精装,有电梯,低楼层(共31层)2008年建板塔结合,龙头寺,14,13056,
招商江湾城,4室2厅,197.74平米,南,毛坯,有电梯,低楼层(共23层)2010年建板楼,北滨路,26,13149,
同创国际,2室2厅,85.9平米,南,精装,有电梯,中楼层(共31层)2007年建塔楼,观音桥,97,11293,
金科十年城北区,2室2厅,75.96平米,东,毛坯,有电梯,高楼层(共33层)2013年建塔楼,石马河,76,10006,
中海紫御江山,3室2厅,138平米,东南,精装,有电梯,低楼层(共48层)2013年建塔楼,江北嘴,15,11087,
诚投天邻风景,3室2厅,151.71平米,东,简装,有电梯,中楼层(共32层)2008年建塔楼,石子山,13,9097,
鲁能星城11城区,4室2厅,134.46平米,南,精装,有电梯,高楼层(共32层)2008年建板塔结合,龙头寺,18,13387,
首创鸿恩中心,2室1厅,85平米,东,精装,中楼层(共43层)2015年建塔楼,大石坝,87,10236,
华润中央公园,3室2厅,108.68平米,北,精装,有电梯,高楼层(共33层)2011年建塔楼,大石坝,13,12146,
南方上格林,5室2厅,187.1平米,东,精装,有电梯,高楼层(共4层)2002年建板楼,五里店,18,9942,
融景城锦峰,4室2厅,143.95平米,北,精装,有电梯,中楼层(共40层)2009年建塔楼,五里店,20,13894,
中海紫御江山,3室2厅,135.34平米,东,毛坯,有电梯,中楼层(共33层)2013年建塔楼,江北嘴,18,13891,
凡阁,2室2厅,72.2平米,南,精装,未知楼层(共33层)塔楼,冉家坝,76,10527,
诚投天邻风景,3室2厅,104.81平米,北,其他,低楼层(共32层)2008年建塔楼,石子山,95,9065,
国兴北岸江山东区,2室2厅,74.49平米,南,精装,有电梯,高楼层(共33层)2013年建塔楼,北滨路,75,10069,
国兴北岸江山东区,2室2厅,85平米,北,其他,有电梯,低楼层(共33层)2013年建塔楼,北滨路,86,10118,
光宇阳光海岸,3室1厅,109.3平米,东,精装,高楼层(共26层)2004年建塔楼,观音桥,11,10065,
龙湖源著北区,2室1厅,58平米,东,其他,有电梯,高楼层(共39层)2015年建塔楼,石子山,68,11725,
龙湖春森彼岸,4室2厅,167平米,南,精装,有电梯,低楼层(共37层)2008年建塔楼,北滨路,28,16767,
龙湖源著北区,3室2厅,120平米,南 北,毛坯,有电梯,中楼层(共33层)2011年建塔楼,石子山,16,13334,
华润中央公园,5室2厅,135平米,南,精装,有电梯,高楼层(共24层)2011年建塔楼,大石坝,32,24075,
龙湖春森彼岸,3室2厅,95.87平米,西北,其他,有电梯,中楼层(共38层)2008年建塔楼,北滨路,11,11474,
鹏润蓝海A区,1室1厅,54.67平米,南,精装,有电梯,低楼层(共21层)2008年建塔楼,观音桥,49,8963,
首创鸿恩国际生活区三期,4室2厅,127平米,东,毛坯,有电梯,高楼层(共9层)2012年建板楼,大石坝,14,11418,
金科十年城东区,3室2厅,100.93平米,西北,毛坯,有电梯,中楼层(共29层)2008年建塔楼,石马河,12,11890,
鹏润蓝海C区,3室2厅,108.08平米,东南,毛坯,有电梯,高楼层(共32层)2006年建塔楼,观音桥,96,8883,
金科十年城洋房,4室2厅,156平米,北,精装,无电梯,中楼层(共5层)2008年建板楼,石马河,24,15385,
鲁能星城12街区,3室2厅,130平米,东,毛坯,有电梯,中楼层(共33层)2010年建塔楼,龙头寺,13,10616,
中凯翠海朗园,3室2厅,120平米,西,毛坯,有电梯,高楼层(共32层)2009年建塔楼,观音桥,12,10500,
光宇阳光地中海,3室2厅,64平米,北,简装,有电梯,中楼层(共32层)2009年建板楼,冉家坝,60,9375,
珠江国际,3室2厅,138平米,南,毛坯,有电梯,中楼层(共32层)2013年建塔楼,五里店,18,13406,
招商江湾城,3室2厅,135.68平米,南,毛坯,有电梯,高楼层(共32层)2010年建板楼,北滨路,18,13636,
鹏润蓝海C区,3室2厅,85.8平米,西南,毛坯,有电梯,低楼层(共32层)2006年建塔楼,观音桥,83,9674,
龙湖春森彼岸,3室2厅,156.93平米,南,毛坯,有电梯,高楼层(共9层)2008年建板塔结合,北滨路,26,16887,
龙湖源著北区,2室1厅,58平米,西,精装,有电梯,低楼层(共39层)2015年建塔楼,石子山,66,11380,
鹏润蓝海A区,3室2厅,79平米,西南,简装,有电梯,中楼层(共26层)2008年建塔楼,观音桥,75,9494,
南方上格林,5室3厅,194.41平米,东南,毛坯,有电梯,低楼层(共18层)2002年建板楼,五里店,14,7202,
寰宇天下观澜苑B区,3室2厅,212.32平米,东,精装,有电梯,中楼层(共26层)2013年建板楼,江北嘴,50,23550,
首创鸿恩国际生活区,2室2厅,78.62平米,南,精装,有电梯,低楼层(共31层)2012年建塔楼,大石坝,82,10430,
大庆村d区,2室1厅,71平米,南,精装,无电梯,高楼层(共9层)1999年建板楼,大石坝,43,6057,
珠江太阳城D区,2室2厅,77.7平米,北,简装,有电梯,低楼层(共31层)2010年建塔楼,五里店,89,11455,
